Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
00/00/0000, 00:00:00, Master Init Complete
00/00/0000, 00:00:00, Switching to instrument 1
04/18/2012, 15:03:01, Note,4
04/18/2012, 15:03:01, Note,2
04/18/2012, 15:03:02, Note,2
04/18/2012, 15:03:03, Note,3
04/18/2012, 15:03:03, Note,4
04/18/2012, 15:03:03, Note,3
04/18/2012, 15:03:03, Note,3
04/18/2012, 15:03:03, Note,3
04/18/2012, 15:03:05, Note,4
04/18/2012, 15:03:05, Note,4
04/18/2012, 15:03:06, Note,2
04/18/2012, 15:03:06, Note,2
04/18/2012, 15:03:06, Note,5
04/18/2012, 15:03:07, Note,4
04/18/2012, 15:03:08, Note,2
04/18/2012, 15:03:08, Note,4
04/18/2012, 15:03:09, Note,2
04/18/2012, 15:03:13, Note,4
04/18/2012, 15:03:17, Note,8
04/18/2012, 15:03:22, Note,3
04/18/2012, 15:03:22, Note,4
04/18/2012, 15:03:23, Note,4
04/18/2012, 15:03:34, Screen Saver
04/18/2012, 15:03:45, Screen Saver
04/18/2012, 15:03:56, Screen Saver
04/18/2012, 15:04:07, Screen Saver
04/18/2012, 15:04:18, Screen Saver
04/18/2012, 15:04:29, Screen Saver
04/18/2012, 15:04:40, Screen Saver
04/18/2012, 15:04:51, Screen Saver
04/18/2012, 15:05:02, Screen Saver
04/18/2012, 15:05:13, Screen Saver
04/18/2012, 15:05:24, Screen Saver
04/18/2012, 15:05:35, Screen Saver
04/18/2012, 15:05:46, Screen Saver
04/18/2012, 15:05:57, Screen Saver
04/18/2012, 15:06:08, Screen Saver
04/18/2012, 15:06:19, Screen Saver
04/18/2012, 15:06:27, Note,3
04/18/2012, 15:06:28, Note,5
04/18/2012, 15:06:28, Note,5
04/18/2012, 15:06:28, Note,4
04/18/2012, 15:06:29, Note,4
04/18/2012, 15:06:29, Note,4
04/18/2012, 15:06:29, Note,5
04/18/2012, 15:06:30, Note,2
04/18/2012, 15:06:30, Note,4
04/18/2012, 15:06:30, Note,2
04/18/2012, 15:06:31, Note,3
04/18/2012, 15:06:31, Note,1
04/18/2012, 15:06:31, Note,3
04/18/2012, 15:06:31, Note,3
04/18/2012, 15:06:31, Note,3
04/18/2012, 15:06:31, Note,2
04/18/2012, 15:06:32, Note,4
04/18/2012, 15:06:32, Note,3
04/18/2012, 15:06:32, Note,5
04/18/2012, 15:06:32, Note,3
04/18/2012, 15:06:32, Note,3
04/18/2012, 15:06:33, Note,3
04/18/2012, 15:06:35, Note,3
04/18/2012, 15:06:35, Note,4
04/18/2012, 15:06:35, Note,5
04/18/2012, 15:06:35, Note,6
04/18/2012, 15:06:36, Note,5
04/18/2012, 15:06:36, Note,7
04/18/2012, 15:06:36, Note,7
04/18/2012, 15:06:36, Note,7
04/18/2012, 15:06:36, Note,6
04/18/2012, 15:06:37, Note,7
04/18/2012, 15:06:37, Note,7
04/18/2012, 15:06:37, Note,8
04/18/2012, 15:06:39, Note,8
04/18/2012, 15:06:41, Note,7
04/18/2012, 15:06:43, Note,7
04/18/2012, 15:06:44, Note,6
04/18/2012, 15:06:47, Note,4
04/18/2012, 15:06:47, Note,4
04/18/2012, 15:06:47, Note,4
04/18/2012, 15:06:47, Note,4
04/18/2012, 15:06:47, Note,4
04/18/2012, 15:06:48, Note,4
04/18/2012, 15:06:48, Note,4
04/18/2012, 15:06:48, Note,6
04/18/2012, 15:06:48, Note,4
04/18/2012, 15:06:48, Note,4
04/18/2012, 15:06:48, Note,8
04/18/2012, 15:06:49, Note,4
04/18/2012, 15:06:50, Note,8
04/18/2012, 15:06:52, Note,8
04/18/2012, 15:06:53, Note,8
04/18/2012, 15:06:53, Note,7
04/18/2012, 15:06:54, Note,7
04/18/2012, 15:06:54, Note,8
04/18/2012, 15:06:54, Note,8
04/18/2012, 15:06:55, Note,1
04/18/2012, 15:06:55, Note,1
04/18/2012, 15:06:55, Note,1
04/18/2012, 15:06:56, Note,6
04/18/2012, 15:06:56, Note,7
04/18/2012, 15:06:56, Note,5
04/18/2012, 15:06:56, Note,6
04/18/2012, 15:06:56, Note,4
04/18/2012, 15:06:57, Note,5
04/18/2012, 15:06:57, Note,4
04/18/2012, 15:06:58, Note,1
04/18/2012, 15:06:58, Note,1
04/18/2012, 15:06:58, Note,1
04/18/2012, 15:07:00, Switching to instrument 2
04/18/2012, 15:07:00, Note,6
04/18/2012, 15:07:02, Note,7
04/18/2012, 15:07:03, Note,6
04/18/2012, 15:07:03, Note,6
04/18/2012, 15:07:03, Switching to instrument 3
04/18/2012, 15:07:04, Switching to instrument 4
04/18/2012, 15:07:04, Note,6
04/18/2012, 15:07:05, Switching to noises
04/18/2012, 15:07:05, Switching to instrument 0
04/18/2012, 15:07:05, Note,8
04/18/2012, 15:07:06, Note,6
04/18/2012, 15:07:06, Note,6
04/18/2012, 15:07:07, Switching to instrument 1
04/18/2012, 15:07:07, Note,7
04/18/2012, 15:07:07, Note,6
04/18/2012, 15:07:08, Switching to instrument 2
04/18/2012, 15:07:08, Switching to instrument 3
04/18/2012, 15:07:09, Switching to instrument 4
04/18/2012, 15:07:09, Switching to noises
Illumitune Master Controller v2.0
Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
00/00/0000, 00:00:00, Master Init Complete
04/18/2012, 15:07:55, Screen Saver
04/18/2012, 15:07:58, Note,6
04/18/2012, 15:08:02, Note,6
04/18/2012, 15:08:02, Note,6
04/18/2012, 15:08:05, Note,5
04/18/2012, 15:08:05, Note,4
04/18/2012, 15:08:05, Note,2
04/18/2012, 15:08:07, Switching to instrument 1
04/18/2012, 15:08:10, Switching to instrument 2
04/18/2012, 15:08:11, Switching to instrument 3
04/18/2012, 15:08:13, Note,1
04/18/2012, 15:08:14, Switching to instrument 4
04/18/2012, 15:08:15, Switching to noises
04/18/2012, 15:08:17, Switching to instrument 0
04/18/2012, 15:08:17, Note,6
04/18/2012, 15:08:19, Switching to instrument 1
04/18/2012, 15:08:22, Switching to instrument 2
04/18/2012, 15:08:23, Note,1
04/18/2012, 15:08:24, Note,1
04/18/2012, 15:08:35, Screen Saver
04/18/2012, 15:08:46, Screen Saver
04/18/2012, 15:08:56, Note,7
04/18/2012, 15:08:57, Note,7
