Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
11/11/2011, 15:45:55, Switching to instrument 1
11/11/2011, 16:16:02, Note,6
11/11/2011, 16:16:03, Note,5
11/11/2011, 16:16:03, Note,3
11/11/2011, 16:16:03, Note,5
11/11/2011, 16:16:04, Note,2
11/11/2011, 16:16:04, Note,3
11/11/2011, 16:16:04, Note,4
11/11/2011, 16:16:04, Note,4
11/11/2011, 16:16:04, Note,3
11/11/2011, 16:16:04, Note,2
11/11/2011, 16:16:05, Note,1
11/11/2011, 16:16:05, Note,2
11/11/2011, 16:16:05, Note,3
11/11/2011, 16:16:05, Note,4
11/11/2011, 16:16:05, Note,5
11/11/2011, 16:16:05, Note,5
11/11/2011, 16:16:06, Note,3
11/11/2011, 16:16:06, Note,2
11/11/2011, 16:16:06, Note,1
11/11/2011, 16:16:06, Note,2
11/11/2011, 16:16:06, Note,3
11/11/2011, 16:16:06, Note,4
11/11/2011, 16:16:06, Note,5
11/11/2011, 16:16:07, Note,5
11/11/2011, 16:16:07, Note,4
11/11/2011, 16:16:07, Note,3
11/11/2011, 16:16:07, Note,2
11/11/2011, 16:16:07, Note,1
11/11/2011, 16:16:08, Note,3
11/11/2011, 16:16:08, Note,4
11/11/2011, 16:16:08, Note,5
11/11/2011, 16:16:08, Note,3
11/11/2011, 16:16:08, Note,1
11/11/2011, 16:16:08, Note,4
11/11/2011, 16:16:08, Note,3
11/11/2011, 16:16:08, Note,3
11/11/2011, 16:16:09, Note,4
11/11/2011, 16:16:09, Note,1
11/11/2011, 16:16:09, Note,5
11/11/2011, 16:16:09, Note,3
11/11/2011, 16:16:09, Note,4
11/11/2011, 16:16:09, Note,3
11/11/2011, 16:16:09, Note,2
11/11/2011, 16:16:09, Note,5
11/11/2011, 16:16:09, Note,1
11/11/2011, 16:16:09, Note,4
11/11/2011, 16:16:09, Note,3
11/11/2011, 16:16:10, Note,3
11/11/2011, 16:16:10, Note,4
11/11/2011, 16:16:10, Note,2
11/11/2011, 16:16:10, Note,5
11/11/2011, 16:16:10, Note,3
11/11/2011, 16:16:10, Note,6
11/11/2011, 16:16:10, Note,4
11/11/2011, 16:16:11, Switching to instrument 1
11/11/2011, 16:16:11, Switching to instrument 2
11/11/2011, 16:16:11, Switching to instrument 3
11/11/2011, 16:16:14, Note,3
11/11/2011, 16:16:14, Note,2
11/11/2011, 16:16:14, Note,2
11/11/2011, 16:16:14, Note,3
11/11/2011, 16:16:14, Note,4
11/11/2011, 16:16:15, Note,3
11/11/2011, 16:16:15, Note,4
11/11/2011, 16:16:15, Switching to instrument 4
11/11/2011, 16:16:15, Note,3
11/11/2011, 16:16:15, Note,4
11/11/2011, 16:16:15, Note,5
11/11/2011, 16:16:15, Switching to noises
11/11/2011, 16:16:15, Note,5
11/11/2011, 16:16:15, Switching to instrument 0
11/11/2011, 16:16:15, Note,4
11/11/2011, 16:16:15, Note,3
11/11/2011, 16:16:15, Note,2
11/11/2011, 16:16:17, Note,5
11/11/2011, 16:16:17, Switching to instrument 1
11/11/2011, 16:16:17, Note,5
11/11/2011, 16:16:17, Note,4
11/11/2011, 16:16:17, Switching to instrument 2
11/11/2011, 16:16:17, Note,2
11/11/2011, 16:16:17, Note,3
11/11/2011, 16:16:17, Note,4
11/11/2011, 16:16:18, Note,5
11/11/2011, 16:16:18, Note,5
11/11/2011, 16:16:18, Note,4
11/11/2011, 16:16:18, Note,3
11/11/2011, 16:16:19, Note,2
11/11/2011, 16:16:19, Note,2
11/11/2011, 16:16:19, Note,3
11/11/2011, 16:16:19, Note,4
11/11/2011, 16:16:19, Note,5
11/11/2011, 16:16:19, Note,7
11/11/2011, 16:16:20, Note,7
11/11/2011, 16:16:20, Note,6
11/11/2011, 16:16:20, Note,5
11/11/2011, 16:16:20, Note,4
11/11/2011, 16:16:20, Note,3
11/11/2011, 16:16:20, Note,2
11/11/2011, 16:16:20, Note,3
11/11/2011, 16:16:20, Note,4
11/11/2011, 16:16:21, Note,5
11/11/2011, 16:16:21, Note,6
11/11/2011, 16:16:21, Note,1
11/11/2011, 16:16:21, Note,7
11/11/2011, 16:16:21, Note,2
11/11/2011, 16:16:21, Note,3
11/11/2011, 16:16:21, Note,8
11/11/2011, 16:16:21, Note,6
11/11/2011, 16:16:21, Note,5
11/11/2011, 16:16:21, Note,1
11/11/2011, 16:16:22, Note,1
11/11/2011, 16:16:22, Note,3
11/11/2011, 16:16:22, Note,4
11/11/2011, 16:16:22, Note,3
11/11/2011, 16:16:23, Note,7
11/11/2011, 16:16:23, Note,6
11/11/2011, 16:16:23, Note,5
11/11/2011, 16:16:23, Note,3
11/11/2011, 16:16:23, Note,2
11/11/2011, 16:16:24, Note,3
11/11/2011, 16:16:24, Note,4
11/11/2011, 16:16:24, Note,4
11/11/2011, 16:16:24, Note,3
11/11/2011, 16:16:24, Note,1
11/11/2011, 16:16:25, Note,1
11/11/2011, 16:16:27, Note,1
11/11/2011, 16:16:29, Note,3
11/11/2011, 16:16:29, Note,1
11/11/2011, 16:16:29, Note,1
11/11/2011, 16:16:29, Note,2
11/11/2011, 16:16:30, Note,3
11/11/2011, 16:16:30, Note,4
11/11/2011, 16:16:30, Note,5
11/11/2011, 16:16:30, Note,6
11/11/2011, 16:16:30, Note,7
11/11/2011, 16:16:30, Note,6
11/11/2011, 16:16:30, Note,5
11/11/2011, 16:16:30, Note,4
11/11/2011, 16:16:30, Note,2
11/11/2011, 16:16:31, Note,1
11/11/2011, 16:16:31, Note,2
11/11/2011, 16:16:31, Note,4
11/11/2011, 16:16:31, Note,6
11/11/2011, 16:16:31, Note,8
11/11/2011, 16:16:31, Note,7
11/11/2011, 16:16:32, Note,6
11/11/2011, 16:16:32, Note,5
11/11/2011, 16:16:32, Note,4
11/11/2011, 16:16:32, Note,3
11/11/2011, 16:16:32, Note,2
11/11/2011, 16:16:32, Switching to instrument 3
11/11/2011, 16:16:32, Note,5
11/11/2011, 16:16:32, Note,6
11/11/2011, 16:16:32, Note,7
11/11/2011, 16:16:32, Note,8
11/11/2011, 16:16:32, Note,4
11/11/2011, 16:16:32, Note,3
11/11/2011, 16:16:32, Note,2
11/11/2011, 16:16:34, Note,2
11/11/2011, 16:16:34, Note,2
11/11/2011, 16:16:34, Note,3
11/11/2011, 16:16:34, Note,4
11/11/2011, 16:16:34, Note,5
11/11/2011, 16:16:34, Note,7
11/11/2011, 16:16:34, Note,6
11/11/2011, 16:16:35, Note,5
11/11/2011, 16:16:35, Note,4
11/11/2011, 16:16:35, Note,6
11/11/2011, 16:16:35, Note,4
11/11/2011, 16:16:35, Note,4
11/11/2011, 16:16:35, Note,3
11/11/2011, 16:16:35, Note,2
11/11/2011, 16:16:35, Note,5
11/11/2011, 16:16:35, Note,2
11/11/2011, 16:16:35, Note,5
11/11/2011, 16:16:35, Note,3
11/11/2011, 16:16:35, Note,3
11/11/2011, 16:16:35, Note,4
11/11/2011, 16:16:36, Note,4
11/11/2011, 16:16:36, Note,3
11/11/2011, 16:16:36, Note,4
11/11/2011, 16:16:36, Note,5
11/11/2011, 16:16:36, Note,4
11/11/2011, 16:16:36, Note,6
11/11/2011, 16:16:36, Note,3
11/11/2011, 16:16:36, Note,3
11/11/2011, 16:16:36, Note,4
11/11/2011, 16:16:36, Note,5
11/11/2011, 16:16:36, Note,4
11/11/2011, 16:16:37, Note,4
11/11/2011, 16:16:37, Note,5
11/11/2011, 16:16:37, Note,4
11/11/2011, 16:16:37, Note,3
11/11/2011, 16:16:37, Note,2
11/11/2011, 16:16:38, Note,2
11/11/2011, 16:16:38, Note,2
11/11/2011, 16:16:38, Note,2
11/11/2011, 16:16:39, Switching to instrument 4
11/11/2011, 16:16:39, Note,2
11/11/2011, 16:16:39, Switching to noises
11/11/2011, 16:16:40, Switching to instrument 0
11/11/2011, 16:16:40, Switching to instrument 1
11/11/2011, 16:16:40, Note,6
11/11/2011, 16:16:40, Note,5
11/11/2011, 16:16:40, Note,4
11/11/2011, 16:16:40, Note,3
11/11/2011, 16:16:41, Switching to instrument 2
11/11/2011, 16:16:41, Note,3
11/11/2011, 16:16:41, Note,4
11/11/2011, 16:16:41, Note,5
11/11/2011, 16:16:41, Note,6
11/11/2011, 16:16:41, Note,7
11/11/2011, 16:16:42, Switching to instrument 3
11/11/2011, 16:16:42, Note,6
11/11/2011, 16:16:42, Note,2
11/11/2011, 16:16:42, Note,3
11/11/2011, 16:16:42, Note,5
11/11/2011, 16:16:42, Note,4
11/11/2011, 16:16:42, Note,3
11/11/2011, 16:16:42, Switching to instrument 4
11/11/2011, 16:16:42, Note,4
11/11/2011, 16:16:42, Note,3
11/11/2011, 16:16:42, Note,5
11/11/2011, 16:16:42, Note,2
11/11/2011, 16:16:42, Note,6
11/11/2011, 16:16:42, Note,7
11/11/2011, 16:16:43, Note,8
11/11/2011, 16:16:43, Note,7
11/11/2011, 16:16:43, Note,6
11/11/2011, 16:16:43, Note,2
11/11/2011, 16:16:43, Note,3
11/11/2011, 16:16:43, Note,4
11/11/2011, 16:16:43, Note,3
11/11/2011, 16:16:43, Note,4
11/11/2011, 16:16:43, Note,4
11/11/2011, 16:16:43, Note,2
11/11/2011, 16:16:43, Note,5
11/11/2011, 16:16:44, Note,6
11/11/2011, 16:16:44, Note,7
11/11/2011, 16:16:44, Note,8
11/11/2011, 16:16:44, Note,8
