S Configured
00/00/0000, 00:00:00, Master Init Complete
05/08/2012, 16:32:04, Note,8
05/08/2012, 16:32:05, Note,5
05/08/2012, 16:32:05, Note,3
05/08/2012, 16:32:05, Note,2
05/08/2012, 16:32:05, Note,1
05/08/2012, 16:32:05, Note,4
05/08/2012, 16:32:05, Note,2
05/08/2012, 16:32:06, Note,2
05/08/2012, 16:32:06, Note,4
05/08/2012, 16:32:06, Note,5
05/08/2012, 16:32:06, Note,1
05/08/2012, 16:32:06, Note,3
05/08/2012, 16:32:07, Note,6
05/08/2012, 16:32:07, Switching to instrument 0
05/08/2012, 16:32:07, Note,6
05/08/2012, 16:32:09, Note,3
05/08/2012, 16:32:09, Switching to instrument 1
05/08/2012, 16:32:09, Note,4
05/08/2012, 16:32:09, Note,4
05/08/2012, 16:32:09, Note,5
05/08/2012, 16:32:10, Note,6
05/08/2012, 16:32:10, Note,7
05/08/2012, 16:32:11, Note,8
05/08/2012, 16:32:11, Note,8
05/08/2012, 16:32:12, Note,5
05/08/2012, 16:32:12, Note,4
05/08/2012, 16:32:12, Note,4
05/08/2012, 16:32:12, Note,3
05/08/2012, 16:32:12, Note,2
05/08/2012, 16:32:13, Note,1
05/08/2012, 16:32:13, Note,1
05/08/2012, 16:32:14, Note,1
05/08/2012, 16:32:14, Note,2
05/08/2012, 16:32:15, Note,2
05/08/2012, 16:32:15, Note,2
05/08/2012, 16:32:15, Note,3
05/08/2012, 16:32:15, Note,5
05/08/2012, 16:32:16, Note,6
05/08/2012, 16:32:16, Note,7
05/08/2012, 16:32:16, Note,7
05/08/2012, 16:32:16, Note,6
05/08/2012, 16:32:16, Note,7
05/08/2012, 16:32:16, Note,6
05/08/2012, 16:32:16, Note,5
05/08/2012, 16:32:20, Note,6
05/08/2012, 16:32:28, Note,6
05/08/2012, 16:32:38, Screen Saver
05/08/2012, 16:32:42, Note,6
05/08/2012, 16:32:46, Note,6
05/08/2012, 16:32:47, Note,6
05/08/2012, 16:32:48, Note,6
05/08/2012, 16:32:49, Note,6
05/08/2012, 16:32:49, Note,6
05/08/2012, 16:32:51, Note,6
05/08/2012, 16:32:58, Note,6
05/08/2012, 16:33:01, Note,6
05/08/2012, 16:33:04, Note,6
05/08/2012, 16:33:06, Note,6
05/08/2012, 16:33:06, Note,6
05/08/2012, 16:33:13, Note,6
05/08/2012, 16:33:19, Note,6
05/08/2012, 16:33:20, Note,6
05/08/2012, 16:33:23, Note,6
05/08/2012, 16:33:24, Note,6
05/08/2012, 16:33:34, Screen Saver
